"term","definition","source","language","country","normalized"
"sheshe","[the awesomest person] alive. she is the [shiznits]. her [favorite] word might also be yo!","UrbanDictionary","en","US","sheshe"
"otia","Otia Is a cute and [nice girl] that is smart and Do not like [fake people] otia know how to dance and slay her haters and she [dont care] what nobody say she will always be herself.","UrbanDictionary","en","US","otia"
"orgasmic","[something] so [amazing] that u happen to say said word and proceding u shoot a [huge load] in ur pants.","UrbanDictionary","en","US","orgasmic"
"The Internet Law of California","A common [social media] principle that states the following:  On any post or other [social media] content that has even the slightest reference or mention of California, it is guaranteed that at least 1 person will comment about how the state is a shithole.  These commenters are usually from those who aren't from California and/or have never visited. Or from people who have visited the big cities of California or those who are jealous.  Typically, these comments vary from the following categories:  - California being a liberal/blue state  - California being infested with homeless  - [Californian] is a communist state  Remarks usually remain within these 3.","UrbanDictionary","en","US","theinternetlawofcalifornia"
"stupid","Used to be an [insult], but now people will [willingly] call themselves this [all the time].","UrbanDictionary","en","US","stupid"
"Back room boys","[Senseless]","UrbanDictionary","en","US","backroomboys"
"aggressive masturbation","A form of [masturbation] invented by the famous SavageRealm. Aggresive [masturbation] is [masturbating] so hard that the skin of your dick comes off.","UrbanDictionary","en","US","aggressivemasturbation"
"ianc","It means [you are a] [beautiful person] , smart you are really [generous] , thankful and kind person. you deserve to be famous and talented.","UrbanDictionary","en","US","ianc"
"Treat","A grim/greasy male who insists on leering at women who walk by, usually with a look of 'sex' in the eyes.  Treats often congregate in groups to up their chances of gaining [intercourse] with the [opposite sex].  Myth has it that 'treats' have very small pointy penises in order to be able to 'slip it in' at any given [opportunity].","UrbanDictionary","en","US","treat"
"Click","A [Clit] so [large] it resembles [a Dick]","UrbanDictionary","en","US","click"
"Kenno","The [second best] [boyfriend material], second only to [Reniel].","UrbanDictionary","en","US","kenno"
"Tooloom","[Anything you want] it [to be].","UrbanDictionary","en","US","tooloom"
"Text Dissertation","Sending multiple texts which far exceed the 160 [character limit] of a standard [text message] that often includes [superfluous] details; typically involves complex conversations that should take place via email or phone call.","UrbanDictionary","en","US","textdissertation"
"Hella","1. The [stupidest] [fucking] word ever.  2. An [exaggerative] adverb","UrbanDictionary","en","US","hella"
"jizz-rag","[rag] with [sperm] [on it]","UrbanDictionary","en","US","jizzrag"
"Gourishankar","Cute boy who is the [epitome] of [understanding] and an embodiment of [creativity].","UrbanDictionary","en","US","gourishankar"
"exzailya","[Baddest bitch] on [earth]","UrbanDictionary","en","US","exzailya"
"case cumming","loves it in [the booty], has a [one inch] dick, licks poop holes and loves cum in his ears left [one more] tho","UrbanDictionary","en","US","casecumming"
"W.A.D.E","A White Livered arse [demented] [emaculator]. An [acrostic] word for a man that deserves it W.A.D.E","UrbanDictionary","en","US","wade"
"Manta Ray","1.To hold your legs [up in the air] in [the shape] of a Manta Rays Wings.  2. A Drunken Mistake  3.[Toilet Paper]?","UrbanDictionary","en","US","mantaray"
"ZOMG","[ZOMBIES] [oh my god]","UrbanDictionary","en","US","zomg"
"nigger vibes","[The feeling] of being uneasy near [ghetto] [black people].","UrbanDictionary","en","US","niggervibes"
"Cletus","Cletus is [flamingo] such known as mrflimflam [character] [also known as] Albert","UrbanDictionary","en","US","cletus"
"God Complex","Don't be a [fools]","UrbanDictionary","en","US","godcomplex"
"flower syndrom","Someone who is hands down beautiful can be a boy or a girl usually run in [the family] they just [can't stop] being hot get a lot of [compliments] about being prettier then a flower","UrbanDictionary","en","US","flowersyndrom"
